,investor_id,name,location,type,most_recent_deal,number_of_deals,portfolio_size,city,state,country,website,industry
7,53,SV Angel,Bay Area,vc,2020-09-18,815,684,San Francisco,CA,USA,svangel.com,food & beverages
8,438,Pejman Nozad,Bay Area,angel,2019-11-07,0,0,Menlo Park,CA,USA,angel.co/pejmannnozad,food & beverages
10,5129,Perceptive Advisors,New York,vc,2020-09-14,0,0,New York,NY,USA,perceptivelife.com,food & beverages
11,17076,Sabby Capital,New York,vc,2017-04-28,0,0,Saddle River,NJ,USA,,food & beverages
13,22215,PTV Healthcare Capital,Austin,vc,2018-01-08,0,0,Austin,TX,USA,ptvhc.com,food & beverages
15,205,Spark Capital,Boston,vc,2020-09-28,361,215,Boston,MA,USA,sparkcapital.com,food & beverages
16,2827,NewSchools Venture Fund,Bay Area,vc,2015-09-10,178,158,Oakland,CA,USA,newschools.org,food & beverages
17,13670,H-FARM Ventures,Roncade,vc,2018-01-24,0,0,Roncade,,ITA,h-farmventures.com,food & beverages
18,6343,Almi Invest,Stockholm ,vc,2017-03-20,0,0,Stockholm ,,SWE,almi.se,food & beverages
20,84,Google Ventures,Bay Area,vc,2020-08-06,612,395,Mountain View,CA,USA,gv.com,food & beverages
21,630,Michael Birch,Bay Area,angel,2020-06-09,0,0,San Francisco,CA,USA,angel.co/mickbirch,food & beverages
26,13505,Y Combinator,Bay Area,accelerator,2020-02-27,2310,1282,Mountain View,CA,USA,ycombinator.com,food & beverages
2,6944,StartupChile,Santiago,accelerator,2016-04-29,399,352,Santiago,,CHL,startupchile.org,food & beverages
4,2435,Will Herman,Boston,angel,2014-09-15,0,0,Boston,MA,USA,angel.co/willherman,food & beverages
5,7207,Joe Caruso,Boston,angel,2018-07-13,0,0,Boston,MA,USA,angel.co/joecaruso2020,food & beverages
6,7478,Right Side Capital Management,Bay Area,vc,2020-07-14,0,0,San Francisco,CA,USA,rightsidecapital.com,food & beverages
9,10,Longworth Venture Partners,Boston,vc,2018-12-31,0,0,Waltham,MA,USA,longworth.com,food & beverages
10,16612,Apax Partners,New York,vc,2018-09-07,0,0,New York,NY,USA,apax.com,food & beverages
16,2120,Point Nine Capital,Berlin,vc,2020-09-07,165,113,Berlin,,DEU,pointninecap.com,food & beverages
17,8445,Gordon Paddison,Los Angeles,angel,2015-10-27,0,0,Los Angeles,CA,USA,,food & beverages
23,9924,Chad Byers,New York,angel,2013-10-08,0,0,New York,NY,USA,angel.co/chad-byers,food & beverages
25,3813,Start Fund,Bay Area,vc,2014-06-24,0,0,San Francisco,CA,USA,startfund.nl,food & beverages
26,3630,XSeed Capital,Bay Area,vc,2020-05-12,0,0,Portola Valley,CA,USA,xseedcap.com,food & beverages
29,18978,Boyu Capital,Hong Kong,vc,2020-07-20,0,0,Hong Kong,,CHN,boyucapital.com,food & beverages
31,7156,Blume Ventures,Mumbai,vc,2020-09-23,207,141,Mumbai,,IND,blumeventures.com,food & beverages
33,135,Felicis Ventures,Bay Area,vc,2020-02-04,388,248,Palo Alto,CA,USA,felicis.com,food & beverages
34,375,Draper Associates,Bay Area,vc,2020-07-15,0,0,San Mateo,CA,USA,drapervc.com,food & beverages
35,5395,Hyde Park Venture Partners,Chicago,vc,2020-10-02,0,0,Chicago,IL,USA,hydeparkvp.com,food & beverages
38,96,General Catalyst Partners,Boston,vc,2020-06-23,530,321,Cambridge,MA,USA,generalcatalyst.com,food & beverages
39,11819,YJ Capital,Tokyo,vc,2020-08-10,0,0,Tokyo,,JPN,yj-capital.co.jp,food & beverages
40,20699,Deerfield Management Company,New York,vc,2020-07-07,0,0,New York,NY,USA,deerfield.com,food & beverages
42,8349,Vista Equity Partners,Austin,vc,2018-11-29,0,0,Austin,TX,USA,vistaequitypartners.com,food & beverages
46,14616,Bizdom,Detroit,accelerator,2016-06-01,0,0,Detroit,MI,USA,bizdom.com,food & beverages
49,2283,ABS Capital Partners,Washington D.C.,vc,2020-02-25,0,0,Baltimore,MD,USA,abscapital.com,food & beverages
0,1090,XG Ventures,Bay Area,vc,2018-12-21,0,0,Menlo Park,CA,USA,xg-ventures.com,food & beverages
4,180,Canaan Partners,Bay Area,vc,2018-09-11,403,221,Menlo Park,CA,USA,canaan.com,food & beverages
5,4114,Actis,London,vc,2018-03-13,0,0,London,,GBR,act.is,food & beverages
8,11496,Stephan Uhrenbacher,Hamburg,angel,2013-01-30,0,0,Hamburg,,DEU,,food & beverages
16,7721,SK Ventures,San Diego,vc,2020-04-20,0,0,La Jolla,CA,USA,skvcap.com,food & beverages
20,7707,Matt Brezina,Bay Area,angel,2017-01-25,0,0,San Francisco,CA,USA,angel.co/brezina,food & beverages
22,3863,Boston Seed Capital,Boston,vc,2020-07-23,0,0,Westwood,MA,USA,bostonseed.com,food & beverages
23,19851,Highland Capital Management,Dallas,pe,2020-09-09,0,0,Dallas,TX,USA,hcmlp.com,food & beverages
24,21635,Wavemaker Partners,Los Angeles,vc,2020-07-15,205,163,Santa Monica,CA,USA,wavemaker.vc,food & beverages
