name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
Patrizio Bertelli,1913,luxury goods,new,Europe,6,Consumer,angel,0,0,,
Pier Luigi Loro Piana,1924,clothing,new,Europe,1.7,Consumer,angel,0,0,,
Ray Irani,1920,oil,new,North America,1.1,Energy,angel,0,0,,
Richard Branson,1972,media,new,Europe,5,Media,angel,0,0,,
Ronda Stryker,1941,medical supplies,new,North America,3.4,Technology-Medical,angel,0,0,,
Sean Parker,1999,internet companies,new,North America,2.6,Technology-Computer,angel,0,0,,
W. Herbert Hunt,1920,oil,new,North America,2.8,Energy,angel,0,0,,
Abdulla Al Futtaim,1930,trading,new,Middle East/North Africa,2.5,"Retail, Restaurant",angel,0,0,,
Abdulla bin Ahmad Al Ghurair,1960,industrial goods,new,Middle East/North Africa,4.8,Diversified financial,angel,0,0,,
Abdullah Al Rajhi,1957,Banking,new,Middle East/North Africa,2.4,Money Management,angel,0,0,,
Abdulsamad Rabiu,1988,"sugar, flour, cement",new,Sub-Saharan Africa,1.2,Consumer,angel,0,0,,
Abigail Johnson,1946,investment banking,new,North America,17.3,Money Management,angel,0,0,,
Abilio dos Santos Diniz,1948,retail,new,Latin America,2.8,"Retail, Restaurant",angel,0,0,,
Achmad Hamami,1980,heavy equipment,new,East Asia,1.6,Non-consumer industrial,angel,0,0,,
Adi Godrej,1897,security,new,South Asia,3.5,Consumer,angel,0,0,,
Aerin Lauder Zinterhofer,1946,makeup,new,North America,1.1,Consumer,angel,0,0,,
Ahmet Calik,1981,textiles,new,Middle East/North Africa,1.1,Energy,angel,0,0,,
Ahmet Nazif Zorlu,1953,textiles,new,Middle East/North Africa,1.2,Diversified financial,angel,0,0,,
Ahsen Ozokur,1944,food products,new,Middle East/North Africa,1.6,Consumer,angel,0,0,,
Airat Shaimiev,1995,oil,new,Europe,1.1,Energy,angel,0,0,,
Ajay Kalsi,1998,gas,new,South Asia,1.9,Energy,angel,0,0,,
Ajay Piramal,1984,pharmaceuticals,aquired,South Asia,1.5,Technology-Medical,angel,0,0,,
Akio Nitori,1967,home furnishings,new,East Asia,1.3,"Retail, Restaurant",angel,0,0,,
Akira Mori,1959,construction,new,East Asia,4.2,Real Estate,angel,0,0,,
Alain Bouchard,1980,retail,new,North America,1.8,"Retail, Restaurant",angel,0,0,,
Alain Merieux,1897,pharmaceuticals,new,Europe,3.8,Technology-Medical,angel,0,0,,
Alain Taravella,1994,real estate,new,Europe,1.3,Real Estate,angel,0,0,,
Alain Wertheimer,1909,luxury goods,new,Europe,9,Consumer,angel,0,0,,
Alan Gerry,1956,media,new,North America,1.4,Media,angel,0,0,,
Alan Howard,2002,hedge funds,new,Europe,1.6,Hedge funds,angel,0,0,,
Alan Rydge,1913,entertainment,new,North America,1.1,Media,angel,0,0,,
Albert Blokker,1896,retail,new,Europe,1.4,"Retail, Restaurant",angel,0,0,,
Albert Frere,1956,steel/banking,aquired,Europe,4.9,Diversified financial,angel,0,0,,
Albert Shigaboutdinov,1995,oil,new,Europe,1.1,Energy,angel,0,0,,
Albert von Thurn und Taxis,1615,"postal service, beverages",new,Europe,1.6,Diversified financial,angel,0,0,,
Albert Yeung,1964,watch retail,new,East Asia,1.1,Real Estate,angel,0,0,,
Alberto Alcocer,1952,construction,aquired,Europe,1,Diversified financial,angel,0,0,,
Alberto Bailleres Gonzalez,1960,mining,privatization,Latin America,12.4,Mining and metals,angel,0,0,,
Alberto Bombassei,1961,braking systems,new,Europe,1.2,Consumer,angel,0,0,,
Alberto Cortina,1952,construction,aquired,Europe,1.4,Diversified financial,angel,0,0,,
Alberto Roemmers,1921,pharmaceuticals,new,Latin America,1.2,Technology-Medical,angel,0,0,,
Alec Gores,1987,private equity,new,North America,2,Private equity/leveraged buyout,angel,0,0,,
Alejandro Santo Domingo Davila,1889,beer,aquired,Latin America,11.1,Consumer,angel,0,0,,
Alex Beard,1974,mining,new,Europe,2,Mining and metals,angel,0,0,,
Alexander Abramov,1992,steel ,aquired,Europe,3.8,Non-consumer industrial,angel,0,0,,
Alexander Dzhaparidze,1995,oil services,new,Europe,2.1,Energy,angel,0,0,,
Alexander Frolov,1992,steel,aquired,Europe,1.5,Mining and metals,angel,0,0,,
Alexander Knaster,2005,bank,new,North America,2.1,Energy,angel,0,0,,
Alexander Machkevich,1994,metals,new,Middle East/North Africa,1.7,Mining and metals,angel,0,0,,
Alexander Mamut,1999,technology,new,Europe,2.3,Diversified financial,angel,0,0,,
Alexander Nesis,1991,private equity,new,Europe,3,Mining and metals,angel,0,0,,
Alexander Ponomarenko,1957,port,privatization,Europe,2.3,Real Estate,angel,0,0,,
Alexander Putilov,1991,oil,subsidiary,Europe,1.2,Energy,angel,0,0,,
Alexander Rovt,1987,fertilizers,aquired,North America,1.1,Consumer,angel,0,0,,
Alexander Skorobogatko,1958,port,privatization,Europe,2.3,Real Estate,angel,0,0,,
Alexander Spanos,1960,real estate,new,North America,1.1,Real Estate,angel,0,0,,
Alexander Svetakov,1993,"banking, real estate",new,Europe,3.1,Money Management,angel,0,0,,
Alexander Vik,1980,investment,aquired,Europe,1,Diversified financial,angel,0,0,,
Alexandra Schorghuber,1954,real estate,new,Europe,2.8,Real Estate,angel,0,0,,
Alexandre Grendene Bartelle,1971,shoes,new,Latin America,1.5,Consumer,angel,0,0,,
Alexandre Soares dos Santos,1792,groceries,new,Europe,2.8,"Retail, Restaurant",angel,0,0,,
Alexei Ananyev,1992,technology,new,Europe,2,Money Management,angel,0,0,,
Alexei Bogachev,1994,retail,new,Europe,1.2,"Retail, Restaurant",angel,0,0,,
Alexei Kuzmichev,1989,investment banking,new,Europe,8.8,Energy,angel,0,0,,
Alexei Mordashov,1993,mining,privatization,Europe,10.5,Non-consumer industrial,angel,0,0,,
Alexei Semin,1991,real estate,new,Europe,1.2,Real Estate,angel,0,0,,
Alfred James Clark,1906,construction,aquired,North America,1.6,Constrution,angel,0,0,,
Alfred Mann,1956,software,new,North America,1.1,Technology-Medical,angel,0,0,,
Alfred Oetker,1891,retail,new,Europe,1.7,Consumer,angel,0,0,,
Alfred Taubman,1950,real estate (shopping malls),new,North America,2.8,Real Estate,angel,0,0,,
