name,company_founded,industry,company_type,location,wealth_worth_in_billions,wealth_how_industry,type_of_investor,number_of_deals,portfolio_size,website,most_recent_deal
A. Jerrold Perenchio,1955,media,aquired,North America,2.6,Media,angel,,,,
Allan Gray,1973,asset management,new,Sub-Saharan Africa,1.3,Other,angel,,,,
Andrej Babis,1993,agriculteral,new,Europe,2.4,Consumer,angel,,,,
Ashwin Dani,1942,paint,new,South Asia,1.3,Consumer,angel,,,,
Bill Adderley,1979,furniture,new,Europe,1.8,Consumer,angel,,,,
Carlo Benetton,1965,fashion,new,Europe,2.9,Consumer,angel,,,,
Charlotte Colket Weber,1869,soup,aquired,North America,1.3,Consumer,angel,,,,
Clayton Mathile,1946,pet food,new,North America,2,Consumer,angel,,,,
Clayton Riddell,1978,petroleum,new,North America,3.3,Energy,angel,,,,
Erika Pohl-Stroher,1880,cosmetics,new,Europe,1.5,Consumer,angel,,,,
Ezra Nahmad,1960,art dealing,new,Europe,1.5,Other,angel,,,,
Francisco Jose Riberas Mera,1958,steel,new,Europe,2.5,Non-consumer industrial,angel,,,,
George Roberts,1976,leveraged buyouts,new,North America,5,Private equity/leveraged buyout,angel,,,,
Guenther Lehmann,1973,retail,new,Europe,1.8,"Retail, Restaurant",angel,,,,
Guilherme Peirao Leal,1969,cosmetics,new,Latin America,1.2,Consumer,angel,,,,
J. Joe Ricketts,1975,banking,new,North America,1.4,Money Management,angel,,,,
Jin Sook Chang,1984,fashion,new,North America,2.9,Consumer,angel,,,,
John Paulson,1994,hedge funds,new,North America,13.5,Hedge funds,angel,,,,
Juan Roig,1977,groceries,new,Europe,4.8,"Retail, Restaurant",angel,,,,
Kevin Plank,1998,apparel,new,North America,2.4,Consumer,angel,,,,
Lawrence Stroll,1981,retail,new,North America,2.4,"Retail, Restaurant",angel,,,,
Lorenzo Mendoza,1941,beer,new,Latin America,3.5,Consumer,angel,,,,
Massimo Moratti,1962,oil,new,Europe,1.5,Energy,angel,,,,
Michael Ying,1968,clothing,new,East Asia,2.9,"Retail, Restaurant",angel,,,,
Niklas Herlin,1924,elevators,aquired,Europe,1.1,Non-consumer industrial,angel,,,,
Patrizio Bertelli,1913,luxury goods,new,Europe,6,Consumer,angel,,,,
Pier Luigi Loro Piana,1924,clothing,new,Europe,1.7,Consumer,angel,,,,
Ray Irani,1920,oil,new,North America,1.1,Energy,angel,,,,
Richard Branson,1972,media,new,Europe,5,Media,angel,,,,
Ronda Stryker,1941,medical supplies,new,North America,3.4,Technology-Medical,angel,,,,
Sean Parker,1999,internet companies,new,North America,2.6,Technology-Computer,angel,,,,
W. Herbert Hunt,1920,oil,new,North America,2.8,Energy,angel,,,,
Abdulla Al Futtaim,1930,trading,new,Middle East/North Africa,2.5,"Retail, Restaurant",angel,,,,
Abdulla bin Ahmad Al Ghurair,1960,industrial goods,new,Middle East/North Africa,4.8,Diversified financial,angel,,,,
Abdullah Al Rajhi,1957,Banking,new,Middle East/North Africa,2.4,Money Management,angel,,,,
Abdulsamad Rabiu,1988,"sugar, flour, cement",new,Sub-Saharan Africa,1.2,Consumer,angel,,,,
Abigail Johnson,1946,investment banking,new,North America,17.3,Money Management,angel,,,,
Abilio dos Santos Diniz,1948,retail,new,Latin America,2.8,"Retail, Restaurant",angel,,,,
Achmad Hamami,1980,heavy equipment,new,East Asia,1.6,Non-consumer industrial,angel,,,,
Adi Godrej,1897,security,new,South Asia,3.5,Consumer,angel,,,,
Aerin Lauder Zinterhofer,1946,makeup,new,North America,1.1,Consumer,angel,,,,
Ahmet Calik,1981,textiles,new,Middle East/North Africa,1.1,Energy,angel,,,,
Ahmet Nazif Zorlu,1953,textiles,new,Middle East/North Africa,1.2,Diversified financial,angel,,,,
Ahsen Ozokur,1944,food products,new,Middle East/North Africa,1.6,Consumer,angel,,,,
Airat Shaimiev,1995,oil,new,Europe,1.1,Energy,angel,,,,
Ajay Kalsi,1998,gas,new,South Asia,1.9,Energy,angel,,,,
Ajay Piramal,1984,pharmaceuticals,aquired,South Asia,1.5,Technology-Medical,angel,,,,
Akio Nitori,1967,home furnishings,new,East Asia,1.3,"Retail, Restaurant",angel,,,,
Akira Mori,1959,construction,new,East Asia,4.2,Real Estate,angel,,,,
Alain Bouchard,1980,retail,new,North America,1.8,"Retail, Restaurant",angel,,,,
Alain Merieux,1897,pharmaceuticals,new,Europe,3.8,Technology-Medical,angel,,,,
Alain Taravella,1994,real estate,new,Europe,1.3,Real Estate,angel,,,,
Alain Wertheimer,1909,luxury goods,new,Europe,9,Consumer,angel,,,,
Alan Gerry,1956,media,new,North America,1.4,Media,angel,,,,
Alan Howard,2002,hedge funds,new,Europe,1.6,Hedge funds,angel,,,,
Alan Rydge,1913,entertainment,new,North America,1.1,Media,angel,,,,
Albert Blokker,1896,retail,new,Europe,1.4,"Retail, Restaurant",angel,,,,
Albert Frere,1956,steel/banking,aquired,Europe,4.9,Diversified financial,angel,,,,
Albert Shigaboutdinov,1995,oil,new,Europe,1.1,Energy,angel,,,,
Albert von Thurn und Taxis,1615,"postal service, beverages",new,Europe,1.6,Diversified financial,angel,,,,
Albert Yeung,1964,watch retail,new,East Asia,1.1,Real Estate,angel,,,,
Alberto Alcocer,1952,construction,aquired,Europe,1,Diversified financial,angel,,,,
Alberto Bailleres Gonzalez,1960,mining,privatization,Latin America,12.4,Mining and metals,angel,,,,
Alberto Bombassei,1961,braking systems,new,Europe,1.2,Consumer,angel,,,,
Alberto Cortina,1952,construction,aquired,Europe,1.4,Diversified financial,angel,,,,
Alberto Roemmers,1921,pharmaceuticals,new,Latin America,1.2,Technology-Medical,angel,,,,
Alec Gores,1987,private equity,new,North America,2,Private equity/leveraged buyout,angel,,,,
Alejandro Santo Domingo Davila,1889,beer,aquired,Latin America,11.1,Consumer,angel,,,,
Alex Beard,1974,mining,new,Europe,2,Mining and metals,angel,,,,
Alexander Abramov,1992,steel ,aquired,Europe,3.8,Non-consumer industrial,angel,,,,
Alexander Dzhaparidze,1995,oil services,new,Europe,2.1,Energy,angel,,,,
